client,month,dials,callbacks,connects,conversations,meetings_scheduled,source,period_note
snoball,2026-02,7246,297,507,238,44,nooks_analytics_screenshot,Feb 2 - Feb 27
snoball,2026-03,5626,260,328,159,35,nooks_analytics_screenshot,Mar 2 - Mar 31
snoball,2026-04,3078,153,199,119,34,nooks_analytics_screenshot,Apr 1 - Apr 30
snoball,2026-05,1305,46,110,53,18,nooks_analytics_screenshot,May 1 - May 29
snoball,2026-06,3001,120,153,89,26,nooks_analytics_screenshot,Jun 1 - Jun 30
secondchair,2026-03,6261,,231,107,23,sales2026_rollup,Month 1 of engagement
secondchair,2026-04,5065,,92,53,11,sales2026_rollup,Month 2 of engagement
