client,campaign,contacts,emails_sent,bounce_rate,replies,source
secondchair,MTMP,242,242,0,2,sales2026_rollup
secondchair,NetNew,5223,16264,0.004978,69,sales2026_rollup
secondchair,Cold Batch 1,4961,29915,0,360,sales2026_rollup
