client,week_label,week_start,week_end,calls_made,meetings_booked,email_follow_up_requested,elevator_pitch_rejected,connected,referral,no_longer_with_company,wrong_icp,wrong_number,busy_call_later,left_voicemail,no_answer,other
yeticonnect,Jun 22–28,2026-06-22,2026-06-28,765,2,3,26,7,0,18,2,39,3,0,665,0
yeticonnect,Jun 29–Jul 5,2026-06-29,2026-07-05,773,4,7,40,7,0,11,13,20,14,0,657,0
yeticonnect,Jul 6–12,2026-07-06,2026-07-12,409,2,3,15,5,0,6,1,9,8,0,360,0
